0	7
1	マ
2	○
3	习
4	☯
5	肃
6	└
7	t
8	‘
9	︶
10	戋
11	;
12	子
13	车
14	&CDP-8DDF;
15	ˇ
16	&CDP-87C5;
17	∑
18	δ
19	食
20	ұ
21	H
22	吏
23	”
24	³
25	示
26	𠂤
27	巾
28	⿴
29	犬
30	丑
31	爫
32	&CDP-884A;
33	龵
34	屯
35	】
36	刂
37	ハ
38	➆
39	ц
40	▍
41	λ
42	C
43	Y
44	牛
45	ⅵ
46	了
47	>
48	㡀
49	⿷
50	↑
51	r
52	彳
53	〝
54	๑
55	❃
56	亜
57	纟
58	デ
59	é
60	𩰊
61	ï
62	õ
63	リ
64	℉
65	ε
66	⺆
67	ぃ
68	民
69	—
70	𠂆
71	∣
72	o
73	“
74	寸
75	韦
76	z
77	⺀
78	四
79	页
80	ⅱ
81	也
82	耒
83	&CDP-8BCB;
84	卝
85	ⓜ
86	➉
87	&CDP-8BEA;
88	⑩
89	&CDP-85F0;
90	垂
91	禹
92	➄
93	ⓣ
94	艹
95	臣
96	›
97	求
98	︽
99	á
100	〔
101	∮
102	®
103	c
104	…
105	⑤
106	ñ
107	,
108	ぅ
109	P
110	=
111	七
112	⇧
113	立
114	¼
115	丌
116	ン
117	彐
118	ⅴ
119	㣺
120	孑
121	戉
122	u
123	﹃
124	耳
125	又
126	龶
127	à
128	#
129	&CDP-8665;
130	冫
131	斤
132	∟
133	爿
134	‰
135	歺
136	谷
137	č
138	宀
139	戈
140	飛
141	朩
142	/
143	ə
144	ん
145	头
146	❄
147	:
148	~
149	𠂎
150	☼
151	ⓔ
152	↻
153	θ
154	R
155	&CDP-8CBB;
156	ユ
157	ʌ
158	。
159	ǘ
160	尢
161	乐
162	±
163	﹤
164	冂
165	止
166	臼
167	π
168	史
169	虍
170	$
171	㐄
172	&CDP-89B0;
173	尹
174	w
175	𦣞
176	─
177	更
178	王
179	弗
180	+
181	ⓒ
182	J
183	乛
184	ㄍ
185	о
186	㔾
187	シ
188	d
189	ɡ
190	キ
191	&CDP-8977;
192	㊣
193	▲
194	ㅣ
195	目
196	D
197	肀
198	五
199	冎
200	ī
201	⑳
202	𠃌
203	乍
204	工
205	▬
206	兀
