729	干
730	㇇
731	㐆
732	┘
733	黽
734	肅
735	夊
736	未
737	ọ
738	⿳
739	比
740	𠃍
741	不
742	&cdp-8661;
743	𠃜
744	ḍ
745	℃
746	ⅰ
747	月
748	事
749	扌
750	尺
751	冉
752	^
753	日
754	у
755	冖
756	•
757	糸
758	▶
759	<
760	白
761	〈
762	❤
763	ë
764	&cdp-8cd4;
765	≦
766	6
767	ϟ
768	≡
769	卄
770	于
771	釆
772	²
773	匚
774	疌
775	№
776	↹
777	&cdp-8ce4;
778	〇
779	β
780	丩
781	夂
782	き
783	𫝀
784	.
785	儿
786	口
787	❾
788	{
789	‖
790	〞
791	š
792	&
793	乙
794	ⅺ
795	𠁣
796	卜
797	↗
798	方
799	我
800	✕
801	必
802	ɛ
803	〗
804	瓜
805	非
806	◎
807	✰
808	⺕
809	ʃ
810	с
811	𡗗
812	&cdp-8cac;
813	&cdp-8a4e;
814	&cdp-8cbd;
815	∅
816	疋
817	b
818	⑥
819	丬
820	瓦
821	㇀
822	°
823	羊
824	&cdp-896a;
825	ー
826	㎏
827	」
828	❝
829	卯
830	ä
831	甫
832	α
833	身
834	ʒ
835	ě
836	刁
837	ý
838	井
839	𭕄
840	✙
841	刀
842	&cdp-8b7c;
843	且
844	●
845	万
846	m
847	μ
848	ょ
849	厂
850	p
851	罒
852	&cdp-89c5;
853	△
854	█
855	▸
856	』
857	✖
858	¥
859	廾
860	幺
861	㎡
862	言
863	サ
864	廿
865	︳
866	ç
867	ナ
868	毋
869	亚
870	讠
871	&cdp-8cb5;
872	为
873	丱
874	乁
875	]
876	|
877	承
878	q
879	が
880	ō
881	丿
882	?
883	艹
884	镸
885	及
886	弋
887	&cdp-8bc5;
888	一
889	ū
890	&cdp-8c4b;
891	➁
892	丈
893	ⓤ
894	0
895	豕
896	：
897	，
898	（
899	）
900	！
901	；
902	－
903	？
904	＆
905	＇
906	｜
907	＝
908	＋
909	０
910	１
911	２
912	３
913	４
914	５
915	６
916	７
917	８
918	９
919	ａ
920	ｂ
921	ｃ
922	ｄ
923	ｅ
924	ｆ
925	ｇ
926	ｈ
927	ｉ
928	ｊ
929	ｋ
930	ｌ
931	ｍ
932	ｎ
933	ｏ
934	ｐ
935	ｑ
936	ｒ
937	ｓ
938	ｔ
939	ｕ
940	ｖ
941	ｗ
942	ｘ
943	ｙ
944	ｚ
945	｛
946	｝
947	％
948	～
949	／
950	＼
951	＜
952	＞
953	［
954	］
955	＊
956	＃
957	．
958	＄
959	｀
